,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
264,Darren Helm\helmda01,32,DET,C/LW,61,7,0.11,0.16,0.28,0.11,0.33,1.75,7,10,17,7,28,0,64,25,-11,28.9,38.7,-9.8,-0.1,0.6,0.5,0,,,
265,David Backes\backeda01,34,BOS,C,70,7,0.10,0.19,0.29,0.10,0.44,1.84,7,13,20,7,41,17,27,3,0,28.9,28.7,0.2,0.1,1.1,1.3,2,1,1,50.0
266,David Kampf\kampfda01,24,CHI,C,63,6,0.06,0.24,0.30,0.10,0.22,1.14,4,15,19,6,27,0,49,16,-6,26.3,32.7,-6.4,-0.2,0.5,0.4,0,,,
267,David Krejci\krejcda01,32,BOS,C,81,25,0.25,0.65,0.90,0.31,0.20,1.72,20,53,73,25,93,24,64,2,7,56.2,48.3,7.9,5.3,2.0,7.3,1,0,1,0.0
268,David Pastrnak\pastrda01,22,BOS,RW,66,32,0.58,0.65,1.23,0.48,0.48,3.56,38,43,81,32,108,45,59,2,6,47.4,41.4,6.0,8.4,1.7,10.2,3,0,3,0.0
269,David Perron\perroda01,30,STL,LW,57,19,0.40,0.40,0.81,0.33,0.81,1.96,23,23,46,19,58,19,36,0,3,38.1,36.9,1.3,4.2,1.3,5.5,2,1,1,50.0
270,David Rittich\rittida01,26,CGY,G,45,0,0.00,0.00,0.00,0.00,0.09,0.00,0,0,0,0,143,23,109,25,0,92.6,86.3,,0.0,0.0,7.0,0,,,
271,David Savard\savarda01,28,CBJ,D,82,9,0.10,0.20,0.29,0.11,0.44,1.51,8,16,24,9,76,0,67,11,19,70.7,59.9,10.8,1.3,4.9,6.2,0,,,
272,David Schlemko\schleda01,31,MTL,D,18,1,0.00,0.11,0.11,0.03,0.22,1.61,0,2,2,1,16,3,22,8,-1,13.0,11.7,1.3,-0.2,0.6,0.4,0,,,
273,Dean Kukan\kukande01,25,CBJ,D,25,1,0.00,0.20,0.20,0.06,0.24,0.64,0,5,5,1,13,0,7,0,6,17.4,12.0,5.4,0.1,1.2,1.3,0,,,
274,Denis Gurianov\guriade01,21,DAL,RW,21,1,0.05,0.14,0.19,0.06,0.00,1.10,1,3,4,1,6,3,6,0,-3,6.3,7.4,-1.2,-0.1,0.2,0.1,0,,,
275,Denis Malgin\malgide01,22,FLA,C,50,6,0.14,0.18,0.32,0.12,0.28,1.32,7,9,16,6,22,1,32,1,-10,19.5,23.0,-3.5,0.5,0.4,0.9,0,,,
276,Dennis Cholowski\cholode01,20,DET,D,52,6,0.13,0.17,0.31,0.12,0.31,1.37,7,9,16,6,45,16,50,1,-20,36.8,35.5,1.3,1.2,0.6,1.7,0,,,
277,Dennis Gilbert\gilbede01,22,CHI,D,1,0,0.00,0.00,0.00,0.00,2.00,0.00,0,0,0,0,0,0,0,0,0,0.2,0.3,-0.1,0.0,0.0,0.0,0,,,
278,Derek Forbort\forbode01,26,LAK,D,81,4,0.02,0.15,0.17,0.05,0.64,0.93,2,12,14,4,48,1,91,32,-13,47.2,63.4,-16.2,-0.4,3.2,2.8,0,,,
279,Derek Grant\grantde01,28,TOT,C,56,5,0.07,0.18,0.25,0.09,0.25,1.32,4,10,14,5,23,0,37,8,-6,23.4,25.1,-1.7,0.0,0.6,0.6,0,,,
280,Derek MacKenzie\mackede01,37,FLA,C,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0,,,
281,Derek Ryan\ryande01,32,CGY,C,81,14,0.16,0.31,0.47,0.17,0.30,1.27,13,25,38,14,56,11,43,19,21,37.7,27.2,10.5,1.9,1.8,3.7,0,,,
282,Derek Stepan\stepade01,28,ARI,C,72,14,0.21,0.28,0.49,0.19,0.19,2.71,15,20,35,14,62,16,61,13,-2,45.3,44.0,1.3,1.3,2.0,3.3,0,,,
283,Derick Brassard\brassde01,31,TOT,C,70,10,0.20,0.13,0.33,0.14,0.56,1.57,14,9,23,10,44,13,51,1,-19,34.2,46.8,-12.6,0.8,0.4,1.2,0,,,
283,Derick Brassard\brassde01,31,COL,C,20,2,0.20,0.00,0.20,0.11,0.40,1.60,4,0,4,2,14,5,16,0,-7,9.3,12.4,-3.1,0.0,0.1,0.0,1,0,1,0.0
284,Derrick Pouliot\poulide01,25,VAN,D,62,4,0.05,0.15,0.19,0.07,0.48,0.94,3,9,12,4,49,3,47,0,-1,40.4,49.3,-9.0,0.2,2.5,2.7,0,,,
285,Deryk Engelland\engelde01,36,VEG,D,74,4,0.03,0.14,0.16,0.05,0.24,1.42,2,10,12,4,49,0,84,32,-3,50.1,59.3,-9.2,-0.4,2.9,2.5,0,,,
286,Devan Dubnyk\dubnyde01,32,MIN,G,67,1,0.00,0.03,0.03,0.01,0.03,0.00,0,2,2,1,168,40,162,28,0,128.2,117.6,,0.0,0.0,11.1,0,,,
287,Devante Smith-Pelly\smithde06,26,WSH,RW,54,3,0.07,0.07,0.15,0.06,0.28,1.11,4,4,8,3,14,0,32,11,-6,17.5,19.9,-2.5,-0.4,0.3,-0.1,0,,,
288,Devin Shore\shorede01,24,TOT,C,76,11,0.13,0.25,0.38,0.14,0.17,1.08,10,19,29,11,43,10,52,7,-12,35.0,42.5,-7.4,0.9,1.1,2.0,0,,,
289,Devon Toews\toewsde01,24,NYI,D,48,6,0.10,0.27,0.38,0.13,0.08,1.69,5,13,18,6,35,6,22,0,7,38.8,27.9,11.0,1.3,2.5,3.8,0,,,
290,Dillon Dube\dubedi01,20,CGY,C,25,2,0.04,0.16,0.20,0.06,0.16,0.88,1,4,5,2,9,0,9,2,2,8.6,10.9,-2.3,-0.1,0.3,0.2,0,,,
291,Dillon Heatherington\heathdi01,23,DAL,D,5,0,0.00,0.20,0.20,0.05,0.00,1.00,0,1,1,0,5,0,1,0,4,2.6,2.4,0.2,0.0,0.4,0.5,0,,,
292,Dion Phaneuf\phanedi01,33,LAK,D,67,2,0.01,0.07,0.09,0.03,0.79,1.19,1,5,6,2,32,1,60,9,-21,32.6,38.6,-5.9,-0.5,0.9,0.4,0,,,
293,Dmitrij Jaskin\jaskidm01,25,WSH,RW,37,3,0.05,0.16,0.22,0.07,0.16,1.30,2,6,8,3,13,0,20,1,-5,14.9,15.6,-0.6,0.0,0.1,0.1,0,,,
294,Dmitry Kulikov\kulikdm01,28,WPG,D,57,2,0.00,0.11,0.11,0.03,0.82,0.70,0,6,6,2,36,0,37,5,4,32.6,38.1,-5.4,-0.5,1.9,1.4,0,,,
295,Dmitry Orlov\orlovdm01,27,WSH,D,82,9,0.04,0.32,0.35,0.10,0.40,1.23,3,26,29,9,79,2,86,13,3,59.5,72.3,-12.8,1.0,3.0,4.0,0,,,
296,Dominic Toninato\tonindo01,24,COL,C,2,1,0.50,0.00,0.50,0.28,0.00,0.50,1,0,1,1,1,0,1,0,0,1.1,0.6,0.5,0.2,0.0,0.2,0,,,
297,Dominic Turgeon\turgedo01,22,DET,C,4,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,6,3,-3,1.1,1.8,-0.8,-0.1,-0.1,-0.2,0,,,
298,Dominik Kahun\kahundo01,23,CHI,C,82,13,0.16,0.29,0.45,0.16,0.07,1.67,13,24,37,14,59,5,45,1,10,52.9,53.8,-0.9,1.7,1.4,3.1,0,,,
299,Dominik Simon\simondo01,24,PIT,C,71,10,0.11,0.28,0.39,0.14,0.25,1.70,8,20,28,10,46,7,30,0,8,44.6,29.5,15.1,1.0,1.3,2.3,0,,,
300,Dougie Hamilton\hamildo01,25,CAR,D,82,16,0.22,0.26,0.48,0.19,0.66,3.16,18,21,39,16,82,13,70,1,0,78.8,55.8,23.1,3.8,3.7,7.6,2,2,0,100.0
301,Drake Batherson\bathedr01,20,OTT,C,20,3,0.15,0.30,0.45,0.16,0.30,0.90,3,6,9,3,13,3,12,0,-2,7.6,8.4,-0.8,0.4,0.2,0.7,0,,,
302,Drake Caggiula\caggidr01,24,TOT,LW,55,9,0.22,0.20,0.42,0.17,0.51,1.75,12,11,23,10,39,0,52,8,-5,33.5,38.9,-5.4,1.3,0.6,1.9,0,,,
303,Drew Doughty\doughdr01,29,LAK,D,82,15,0.10,0.45,0.55,0.18,0.54,1.88,8,37,45,14,86,28,128,35,-34,60.7,74.4,-13.7,2.8,2.9,5.7,0,,,
304,Drew Stafford\staffdr01,33,NJD,RW,57,5,0.09,0.14,0.23,0.09,0.32,1.35,5,8,13,5,25,5,27,0,-7,24.6,25.5,-0.9,-0.1,0.7,0.6,6,2,4,33.3
305,Dryden Hunt\huntdr01,23,FLA,LW,31,3,0.10,0.23,0.32,0.11,0.26,1.71,3,7,10,4,16,1,15,0,0,13.1,12.3,0.8,0.3,0.4,0.7,0,,,
306,Duncan Keith\keithdu01,35,CHI,D,82,12,0.07,0.41,0.49,0.15,0.85,1.72,6,34,40,13,105,9,114,31,13,72.3,81.9,-9.6,2.3,3.8,6.0,0,,,
307,Dustin Brown\browndu01,34,LAK,RW,72,20,0.31,0.40,0.71,0.28,0.33,2.50,22,29,51,20,79,25,87,16,-17,47.1,54.5,-7.4,3.3,1.4,4.7,4,0,4,0.0
308,Dustin Byfuglien\byfugdu01,33,WPG,D,42,9,0.10,0.64,0.74,0.23,1.64,2.74,4,27,31,10,62,22,43,8,4,33.3,30.8,2.5,2.3,2.1,4.4,0,,,
309,Dylan DeMelo\demeldy01,25,OTT,D,77,7,0.05,0.23,0.29,0.09,0.42,1.42,4,18,22,7,84,4,95,13,-1,59.4,63.4,-4.1,0.8,3.1,3.9,0,,,
310,Dylan Gambrell\gambrdy01,22,SJS,C,8,0,0.00,0.00,0.00,0.00,0.25,0.75,0,0,0,0,1,0,0,0,1,2.2,2.8,-0.6,-0.2,0.1,-0.1,0,,,
311,Dylan Larkin\larkidy01,22,DET,C,76,28,0.42,0.54,0.96,0.37,0.99,3.78,32,41,73,29,97,24,90,12,-6,70.0,64.8,5.2,5.9,1.6,7.5,4,1,3,25.0
312,Dylan McIlrath\mcilrdy01,26,DET,D,7,0,0.00,0.00,0.00,0.00,0.57,0.86,0,0,0,0,4,0,3,1,2,2.6,4.0,-1.4,-0.1,0.4,0.3,0,,,
313,Dylan Sikura\sikurdy01,23,CHI,C,33,2,0.00,0.24,0.24,0.06,0.00,1.58,0,8,8,2,18,1,15,0,2,16.6,15.3,1.3,-0.2,0.4,0.1,0,,,
314,Dylan Strome\stromdy01,21,TOT,C,78,21,0.26,0.47,0.73,0.27,0.26,1.86,20,37,57,21,98,34,71,0,-8,49.5,57.2,-7.7,4.2,0.9,5.1,0,,,
315,Eddie Pasquale\pasqued01,28,TBL,G,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,13,1,12,0,0,7.7,9.0,,0.0,0.0,0.3,0,,,
316,Eeli Tolvanen\tolvaee01,19,NSH,RW,4,1,0.25,0.25,0.50,0.21,0.00,0.50,1,1,2,1,3,1,0,0,2,0.9,1.1,-0.2,0.2,0.1,0.3,0,,,
317,Egor Yakovlev\yakoveg01,27,NJD,D,25,2,0.08,0.20,0.28,0.10,0.24,0.96,2,5,7,2,14,0,20,0,-6,12.8,15.2,-2.4,0.4,0.5,1.0,0,,,
318,Elias Lindholm\lindhel01,24,CGY,C,81,28,0.33,0.63,0.96,0.35,0.25,2.25,27,51,78,29,125,38,78,21,30,56.6,46.3,10.2,5.9,2.6,8.4,1,0,1,0.0
319,Elias Pettersson\petteel01,20,VAN,C,71,26,0.39,0.54,0.93,0.37,0.17,2.03,28,38,66,26,85,31,53,1,3,40.9,43.6,-2.8,6.0,1.7,7.8,10,3,7,30.0
320,Eric Comrie\comrier01,23,WPG,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,5,0,0,1.5,1.8,,0.0,0.0,-0.1,0,,,
321,Eric Fehr\fehrer01,33,MIN,RW,72,6,0.10,0.11,0.21,0.08,0.42,0.93,7,8,15,6,21,0,42,13,-8,21.6,21.9,-0.3,0.0,0.8,0.8,0,,,
322,Eric Gryba\grybaer01,30,NJD,D,10,0,0.00,0.00,0.00,0.00,1.00,1.10,0,0,0,0,5,0,8,2,-1,4.6,5.1,-0.5,-0.2,0.3,0.1,0,,,
323,Eric Robinson\robiner01,23,CBJ,LW,13,0,0.00,0.00,0.00,0.00,0.00,1.38,0,0,0,0,1,0,5,0,-4,5.5,5.1,0.4,-0.4,0.0,-0.4,0,,,
324,Eric Staal\staaler01,34,MIN,C,81,20,0.27,0.37,0.64,0.25,0.42,2.65,22,30,52,20,86,31,62,0,-7,57.2,45.7,11.5,3.3,1.9,5.1,0,,,
325,Eric Tangradi\tangrer01,29,NJD,C,6,0,0.00,0.17,0.17,0.05,0.00,1.67,0,1,1,0,1,0,4,0,-3,3.2,2.8,0.5,-0.1,0.0,-0.1,0,,,
326,Erik Brannstrom\branner01,19,OTT,D,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,1,0,0,1.0,1.8,-0.8,0.0,0.1,0.0,0,,,
327,Erik Burgdoerfer\burgder01,30,OTT,D,4,0,0.00,0.00,0.00,0.00,0.50,0.50,0,0,0,0,0,0,2,1,-1,1.2,1.2,0.0,-0.1,0.0,0.0,0,,,
328,Erik Cernak\cernaer01,21,TBL,D,58,6,0.09,0.19,0.28,0.10,1.00,1.84,5,11,16,6,65,2,42,4,25,45.1,42.1,3.0,0.7,3.6,4.3,0,,,
329,Erik Condra\condrer01,32,DAL,RW,6,1,0.17,0.00,0.17,0.09,0.33,1.67,1,0,1,1,1,0,3,0,-2,2.7,1.9,0.8,0.0,0.0,0.0,0,,,
330,Erik Gudbranson\gudbrer01,27,TOT,D,76,3,0.03,0.11,0.13,0.04,1.14,1.24,2,8,10,3,49,0,93,24,-20,47.8,59.7,-11.9,-0.5,1.6,1.1,0,,,
331,Erik Gustafsson\gustaer02,26,CHI,D,79,21,0.22,0.54,0.76,0.26,0.43,2.03,17,43,60,21,115,32,90,1,-6,74.3,81.6,-7.4,5.5,2.2,7.7,0,,,
332,Erik Haula\haulaer01,27,VEG,LW,15,3,0.13,0.33,0.47,0.17,0.67,1.73,2,5,7,2,9,1,7,0,1,10.2,7.2,3.0,0.2,0.3,0.6,2,1,1,50.0
333,Erik Johnson\johnser01,30,COL,D,80,9,0.09,0.23,0.31,0.11,0.48,1.80,7,18,25,9,79,4,98,29,8,67.0,67.9,-0.9,1.1,4.0,5.1,0,,,
334,Erik Karlsson\karlser01,28,SJS,D,53,13,0.06,0.79,0.85,0.24,0.42,3.19,3,42,45,13,95,28,71,11,6,57.8,45.1,12.8,3.2,2.8,6.0,0,,,
335,Esa Lindell\lindees01,24,DAL,D,82,12,0.13,0.26,0.39,0.14,0.40,1.61,11,21,32,12,79,11,83,29,14,60.9,70.7,-9.8,1.9,6.7,8.6,0,,,
336,Evan Bouchard\bouchev01,19,EDM,D,7,1,0.14,0.00,0.14,0.08,0.29,1.43,1,0,1,1,2,1,6,0,-5,2.3,3.1,-0.8,0.1,-0.2,-0.1,0,,,
337,Evan Rodrigues\rodriev01,25,BUF,C,74,10,0.12,0.27,0.39,0.14,0.34,2.27,9,20,29,10,52,10,63,14,-7,39.4,39.6,-0.2,0.5,1.2,1.8,0,,,
338,Evander Kane\kaneev01,27,SJS,LW,75,23,0.40,0.35,0.75,0.31,2.04,3.57,30,26,56,23,89,20,77,3,-4,60.9,51.1,9.9,4.7,1.1,5.8,0,,,
339,Evgeni Malkin\malkiev01,32,PIT,C,68,25,0.31,0.75,1.06,0.37,1.31,2.75,21,51,72,25,91,40,77,1,-25,53.7,45.4,8.4,5.8,0.4,6.2,3,0,3,0.0
340,Evgenii Dadonov\dadonev01,29,FLA,RW,82,26,0.34,0.51,0.85,0.32,0.10,2.38,28,42,70,27,124,49,83,1,-6,55.5,55.6,-0.1,5.6,1.6,7.1,0,,,
341,Evgeny Kuznetsov\kuzneev01,26,WSH,C,76,25,0.28,0.67,0.95,0.33,0.66,2.54,21,51,72,25,110,41,66,3,7,49.1,58.4,-9.3,5.2,1.6,6.8,5,3,2,60.0
342,Filip Chlapik\chlapfi01,21,OTT,C,5,1,0.20,0.00,0.20,0.11,0.80,1.80,1,0,1,1,2,0,4,0,-2,3.0,3.3,-0.3,0.0,0.0,0.0,0,,,
343,Filip Chytil\chytifi01,19,NYR,C,75,9,0.15,0.16,0.31,0.12,0.11,1.77,11,12,23,9,38,13,47,0,-22,39.0,42.1,-3.1,0.5,0.4,0.9,2,0,2,0.0
344,Filip Forsberg\forsbfi01,24,NSH,C,64,21,0.44,0.34,0.78,0.34,0.41,3.39,28,22,50,21,73,14,56,4,8,51.4,44.5,6.9,4.7,1.6,6.3,4,1,3,25.0
345,Filip Hronek\hronefi01,21,DET,D,46,8,0.11,0.39,0.50,0.16,0.65,1.59,5,18,23,8,41,9,50,9,-10,28.1,35.2,-7.2,1.7,1.2,2.9,0,,,
346,Filip Zadina\zadinfi01,19,DET,RW,9,1,0.11,0.22,0.33,0.12,0.00,2.00,1,2,3,1,5,3,7,0,-5,2.4,7.1,-4.7,0.0,0.0,0.0,0,,,
347,Frank Vatrano\vatrafr01,24,FLA,LW,81,17,0.30,0.19,0.48,0.21,0.47,2.57,24,15,39,17,56,16,51,1,-10,43.7,43.7,0.1,3.0,1.0,4.0,1,0,1,0.0
348,Frans Nielsen\nielsfr01,34,DET,C,72,12,0.14,0.35,0.49,0.17,0.19,1.67,10,25,35,12,58,13,65,13,-7,33.0,42.0,-9.1,1.2,1.1,2.2,7,1,6,14.3
349,Frederick Gaudreau\gaudrfr01,25,NSH,C,55,2,0.05,0.02,0.07,0.04,0.04,0.78,3,1,4,2,13,0,12,0,1,23.0,14.3,8.7,-0.7,0.6,-0.1,0,,,
350,Frederik Andersen\anderfr01,29,TOR,G,60,0,0.00,0.02,0.02,0.00,0.03,0.00,0,1,1,0,212,36,162,33,0,141.3,141.2,,0.0,0.0,12.5,0,,,
351,Frederik Gauthier\gauthfr01,23,TOR,C,70,5,0.04,0.16,0.20,0.07,0.17,0.66,3,11,14,5,24,0,23,2,3,17.9,20.2,-2.3,0.1,0.6,0.7,0,,,
352,Fredrik Claesson\claesfr01,26,NYR,D,37,2,0.05,0.11,0.16,0.06,0.24,1.19,2,4,6,2,21,0,28,9,3,22.9,23.4,-0.5,0.0,1.6,1.6,0,,,
353,Gabriel Bourque\bourqga01,28,COL,LW,55,3,0.04,0.11,0.15,0.05,0.18,0.62,2,6,8,3,17,0,32,18,3,13.2,18.4,-5.2,-0.5,0.7,0.2,0,,,
354,Gabriel Carlsson\carlsga01,22,CBJ,D,1,0,0.00,0.00,0.00,0.00,2.00,1.00,0,0,0,0,0,0,1,0,-1,0.2,0.2,0.0,0.0,-0.1,-0.1,0,,,
355,Gabriel Landeskog\landega01,26,COL,LW,73,30,0.47,0.56,1.03,0.41,0.70,3.33,34,41,75,30,121,44,62,2,17,65.2,55.4,9.8,6.7,2.3,9.0,4,0,4,0.0
356,Garnet Hathaway\hathaga01,27,CGY,RW,76,8,0.14,0.11,0.25,0.11,0.74,1.01,11,8,19,8,31,0,27,10,14,27.2,23.6,3.6,0.7,1.2,2.0,0,,,
357,Garret Sparks\sparkga01,25,TOR,G,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,54,8,58,6,0,49.8,43.5,,0.0,0.0,2.8,0,,,
358,Garrett Wilson\wilsoga01,27,PIT,LW,50,3,0.04,0.12,0.16,0.05,0.36,1.08,2,6,8,3,12,0,14,4,2,15.2,14.1,1.1,-0.1,0.5,0.4,0,,,
359,Gavin Bayreuther\bayrega01,24,DAL,D,19,2,0.11,0.16,0.26,0.10,0.53,1.32,2,3,5,2,14,2,10,0,2,13.7,13.9,-0.2,0.3,1.1,1.4,0,,,
360,Gemel Smith\smithge02,24,TOT,C,17,1,0.12,0.06,0.18,0.08,0.00,0.82,2,1,3,1,4,0,8,0,-4,4.2,6.6,-2.4,0.1,0.0,0.2,0,,,
361,Greg McKegg\mckeggr01,26,CAR,C,41,5,0.15,0.12,0.27,0.11,0.20,0.66,6,5,11,5,16,0,18,0,-2,16.9,18.3,-1.4,0.5,0.4,1.0,0,,,
362,Greg Pateryn\patergr01,28,MIN,D,80,2,0.01,0.08,0.09,0.03,0.51,1.25,1,6,7,2,42,1,62,11,-11,44.6,41.7,2.9,-0.9,3.0,2.1,0,,,
363,Guillaume Brisebois\brisegu01,21,VAN,D,8,0,0.00,0.00,0.00,0.00,0.00,0.63,0,0,0,0,2,0,6,0,-4,3.8,3.1,0.7,-0.1,-0.1,-0.2,0,,,
364,Gustav Forsling\forslgu02,22,CHI,D,43,3,0.07,0.14,0.21,0.07,0.70,1.33,3,6,9,3,21,1,37,8,-9,27.9,35.7,-7.9,0.3,0.4,0.7,0,,,
365,Gustav Nyquist\nyquigu01,29,TOT,RW,81,22,0.27,0.47,0.74,0.27,0.15,2.52,22,38,60,22,87,14,73,1,1,67.5,55.9,11.6,4.3,1.6,5.8,0,,,
365,Gustav Nyquist\nyquigu01,29,DET,RW,62,18,0.26,0.53,0.79,0.28,0.13,2.63,16,33,49,18,67,12,56,1,0,53.4,46.2,7.2,3.4,1.2,4.6,6,1,5,16.7
366,Hampus Lindholm\lindhha01,25,ANA,D,76,9,0.08,0.29,0.37,0.12,0.58,1.64,6,22,28,9,79,10,101,27,-5,61.6,69.6,-8.0,1.2,4.3,5.5,0,,,
367,Haydn Fleury\fleurha01,22,CAR,D,20,0,0.00,0.05,0.05,0.01,0.10,0.85,0,1,1,0,14,0,10,0,4,13.3,8.0,5.3,-0.2,0.9,0.7,0,,,
368,Henri Jokiharju\jokihhe01,19,CHI,D,38,3,0.00,0.32,0.32,0.08,0.42,1.63,0,12,12,3,36,4,41,3,-7,28.8,32.9,-4.1,0.3,0.5,0.8,0,,,
369,Henrik Borgström\borgshe01,21,FLA,C,50,7,0.16,0.20,0.36,0.14,0.08,1.08,8,10,18,7,29,9,34,0,-14,20.0,22.7,-2.6,0.9,0.2,1.1,0,,,
370,Henrik Lundqvist\lundqhe01,36,NYR,G,52,1,0.00,0.06,0.06,0.02,0.00,0.00,0,3,3,1,127,33,158,43,0,112.0,118.3,,0.0,0.0,9.0,0,,,
371,Hunter Miska\miskahu01,23,ARI,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,1,0,0,0.6,0.5,,0.0,0.0,0.0,0,,,
372,Ian Cole\coleia01,29,COL,D,71,5,0.03,0.18,0.21,0.07,1.62,1.15,2,13,15,5,56,0,91,32,-1,50.3,50.2,0.1,0.0,2.6,2.6,0,,,
373,Ian McCoshen\mccosia01,23,FLA,D,19,1,0.05,0.05,0.11,0.04,0.42,0.79,1,1,2,1,8,0,10,0,-2,7.2,9.7,-2.6,0.0,0.4,0.4,0,,,
374,Igor Ozhiganov\ozhigig01,26,TOR,D,53,3,0.06,0.08,0.13,0.05,0.26,0.81,3,4,7,3,31,0,31,0,0,31.3,31.0,0.3,0.1,1.1,1.2,0,,,
375,Ilya Kovalchuk\kovalil01,35,LAK,LW,64,14,0.25,0.28,0.53,0.21,0.16,2.20,16,18,34,14,48,18,56,0,-26,27.0,37.7,-10.7,2.2,0.4,2.6,5,4,1,80.0
376,Ilya Lyubushkin\lyubuil01,24,ARI,D,41,1,0.00,0.10,0.10,0.03,0.32,0.66,0,4,4,1,16,0,25,1,-9,19.9,23.7,-3.8,-0.3,0.9,0.6,0,,,
377,Isac Lundestrom\lundeis01,19,ANA,C,15,1,0.00,0.13,0.13,0.04,0.13,0.87,0,2,2,1,6,0,9,2,-1,7.4,10.0,-2.6,-0.3,0.2,-0.1,0,,,
378,Ivan Barbashev\barbaiv01,23,STL,C,80,11,0.18,0.15,0.33,0.14,0.21,0.75,14,12,26,11,30,0,51,17,-4,29.6,35.2,-5.6,1.4,1.0,2.5,0,,,
379,Ivan Provorov\provoiv01,22,PHI,D,82,9,0.09,0.23,0.32,0.11,0.39,1.77,7,19,26,9,90,7,129,30,-16,70.1,71.4,-1.3,0.8,2.9,3.7,0,,,
380,J.T. Brown\brownjt01,28,MIN,RW,56,3,0.05,0.09,0.14,0.05,0.52,1.00,3,5,8,3,17,0,19,2,0,18.6,14.9,3.7,-0.3,0.7,0.4,0,,,
381,J.T. Compher\comphj.01,23,COL,LW,66,13,0.24,0.24,0.48,0.20,0.47,1.79,16,16,32,13,69,30,62,15,-8,35.2,38.2,-3.0,1.6,0.9,2.6,1,0,1,0.0
382,J.T. Miller\millejt01,25,TBL,C,75,16,0.17,0.45,0.63,0.22,0.40,1.44,13,34,47,16,85,38,39,0,8,40.1,32.9,7.3,2.9,1.2,4.2,2,2,0,100.0
383,Jaccob Slavin\slavija01,24,CAR,D,82,11,0.10,0.28,0.38,0.13,0.22,1.78,8,23,31,11,85,13,93,21,0,76.4,61.6,14.8,1.7,4.3,6.0,3,0,3,0.0
384,Jack Campbell\campbja01,27,LAK,G,31,0,0.00,0.03,0.03,0.01,0.00,0.00,0,1,1,0,57,13,61,12,0,44.1,56.6,,0.0,0.0,6.3,0,,,
385,Jack Eichel\eicheja01,22,BUF,C,77,30,0.36,0.70,1.06,0.39,0.34,3.94,28,54,82,30,112,36,92,5,-11,65.2,58.9,6.3,6.6,1.6,8.2,8,4,4,50.0
386,Jack Johnson\johnsja02,32,PIT,D,82,4,0.01,0.15,0.16,0.05,0.50,1.05,1,12,13,4,63,4,86,23,-4,56.8,65.0,-8.1,-0.5,2.3,1.8,0,,,
387,Jack Rodewald\rodewja01,24,OTT,RW,6,0,0.00,0.00,0.00,0.00,0.00,0.33,0,0,0,0,0,0,0,0,0,1.1,1.7,-0.6,-0.1,0.0,-0.1,0,,,
388,Jack Roslovic\rosloja01,22,WPG,C,77,9,0.12,0.19,0.31,0.12,0.05,0.96,9,15,24,9,35,8,29,0,-2,27.9,28.7,-0.8,1.2,0.7,1.9,1,0,1,0.0
389,Jacob de La Rose\delarja01,23,DET,LW,60,3,0.05,0.10,0.15,0.05,0.27,0.92,3,6,9,3,19,0,40,8,-13,18.0,25.7,-7.7,-0.7,0.3,-0.4,0,,,
390,Jacob Larsson\larssja01,21,ANA,D,49,1,0.00,0.10,0.10,0.03,0.33,1.16,0,5,5,1,26,0,37,7,-4,29.8,36.1,-6.2,-0.5,1.8,1.3,0,,,
391,Jacob MacDonald\macdoja02,25,FLA,D,2,1,0.50,0.00,0.50,0.27,0.00,0.50,1,0,1,1,1,0,0,0,1,0.5,0.7,-0.2,0.2,0.1,0.3,0,,,
392,Jacob Markstrom\marksja02,29,VAN,G,60,1,0.00,0.05,0.05,0.01,0.03,0.00,0,3,3,1,168,34,165,30,0,115.6,136.0,,0.0,0.0,11.1,0,,,
393,Jacob Middleton\middlja01,23,SJS,D,3,0,0.00,0.33,0.33,0.09,0.67,0.00,0,1,1,0,2,0,3,0,-1,1.5,2.4,-0.9,0.1,0.0,0.0,0,,,
394,Jacob Nilsson\nilssja01,25,CHI,C,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,2,0,-2,0.0,0.3,-0.3,0.0,-0.1,-0.1,0,,,
395,Jacob Trouba\troubja01,24,WPG,D,82,16,0.10,0.51,0.61,0.19,0.71,1.98,8,42,50,16,112,26,102,24,8,62.8,69.1,-6.3,3.5,4.0,7.5,0,,,
